Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
1/15/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/15/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
1/15/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/15/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
1/15/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/16/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/17/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/17/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/18/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/19/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/19/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/19/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/19/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
1/20/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/21/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/21/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/22/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/22/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/23/13,STRAY,ALIVE,CAT,SHORTHAIR,SNOWSHOE
1/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
