Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
5/29/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/28/13,POS OWNER,ALIVE,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/27/13,STRAY,ALIVE,CAT,SHORTHAIR,SNOWSHOE
5/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/26/13,STRAY,ALIVE,CAT,SHORTHAIR,SNOWSHOE
5/26/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/26/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/25/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
