Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
11/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/20/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,PERS PROP,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/19/13,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/17/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/17/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/17/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/16/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/16/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/16/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/16/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
11/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/15/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
11/15/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/15/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/14/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/14/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/14/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
11/14/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/14/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/14/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/14/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,ALIVE,CAT,LONGHAIR,MAINE COON
11/13/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/13/13,EVIDENCE,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/12/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/12/13,STRAY,ALIVE,CAT,LONGHAIR,NORWGN FOREST
11/12/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/12/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/12/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/11/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
11/10/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
11/10/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
