Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
12/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/31/13,POS OWNER,ALIVE,CAT,SHORTHAIR,AMER SH
12/30/13,STRAY,ALIVE,CAT,LONGHAIR,MAINE COON
12/30/13,OWNER SUR,DEAD,CAT,SHORTHAIR,SIAMESE
12/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
12/28/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
12/28/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
12/27/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
12/27/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/27/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/26/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/26/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
12/26/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
12/26/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
12/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/25/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/24/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
12/24/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
12/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/23/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/23/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
12/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/22/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/22/13,OWNER SUR,DEAD,CAT,LONGHAIR,MAINE COON
12/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
12/21/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
12/21/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
